% Title: Sonar data
% Sources: Bruno's room 
@RELATION proximity

@ATTRIBUTE avg 		NUMERIC
@ATTRIBUTE diff_avg	NUMERIC
@ATTRIBUTE std_dev	NUMERIC
@ATTRIBUTE std_dev_avg NUMERIC
@ATTRIBUTE class	{occupied,empty }

@DATA
67.8117121212,67.8117121212,0.993956565607,0.993956565607,occupied
69.3049626168,1.49325049561,2.78126622081,1.88761139321,occupied
68.65515625,-0.649806366822,2.60204942341,2.12575740328,occupied
67.9340491071,-0.721107142857,2.49085452989,2.21703168493,occupied
67.5719265734,-0.362122533716,2.31549179154,2.54741549141,occupied
67.2737330961,-0.298193477341,2.32918494557,2.4343951726,occupied
66.47388,-0.799853096085,0.851327178871,1.99671461147,occupied
66.3860653595,-0.0878146405229,0.558550550108,1.51363861652,occupied
66.5508724832,0.164807123744,0.565850235252,1.07622822745,occupied
66.6529450172,0.102072533961,0.573179171362,0.637226783898,occupied
66.7793623693,0.126417352156,0.649912431739,0.586873097115,occupied
66.9108169014,0.13145453207,0.670463645491,0.614851370961,occupied
66.8865907473,-0.0242261540776,0.632657766704,0.631553253824,occupied
66.8498535714,-0.0367371759023,1.27232996131,0.806340951312,occupied
67.1692964286,0.319442857143,1.54802263095,1.03086850111,occupied
67.3491214286,0.179825,2.63811161274,1.52278049293,occupied
67.8736594982,0.524538069637,2.87395700108,2.08310530152,occupied
68.5638736059,0.69021410774,3.21670477173,2.56919900412,occupied
69.3754163569,0.811542750929,3.24680166929,2.99389376371,occupied
69.5682131148,0.192796757877,2.56005395947,2.97437935039,occupied
69.7974979592,0.22928484443,2.50388412472,2.8818611313,occupied
69.6136577778,-0.183840181406,2.85790602091,2.7921614436,occupied
69.1389026549,-0.474755122911,3.52150566274,2.86083744196,occupied
68.5164837209,-0.622418933937,3.37428006007,3.06439396711,occupied
68.1032857143,-0.413198006644,3.66510803634,3.35469994501,occupied
67.6029460581,-0.500339656194,3.46813961074,3.50725834247,occupied
67.4454538462,-0.157492211937,3.07422117358,3.39543722018,occupied
67.2125239852,-0.232929860914,2.25501100563,3.11561995657,occupied
67.0810492958,-0.131474689465,1.94282976137,2.68505038783,occupied
67.2644295775,0.18338028169,1.2634918573,2.13388844947,occupied
67.346677305,0.0822477274997,1.18180473852,1.66078434071,occupied
67.4689222615,0.12224495652,2.15558512263,1.63592786995,occupied
67.7202490421,0.251326780662,3.1047120533,1.92639844294,occupied
65.9877671756,-1.73248186657,7.89108495053,3.58329671624,occupied
65.9141800766,-0.0735870989441,7.91226122851,5.26591083874,occupied
65.9209578544,0.00677777777776,8.07523615576,6.74582359703,occupied
65.8417012448,-0.0792566095929,8.20760461515,8.02154673749,occupied
66.0128505747,0.171149329899,7.58325234092,7.94458858509,occupied
67.7409534884,1.72810291366,2.1494479478,6.50388526491,occupied
67.7464362934,0.00548280506419,2.20898671016,5.03732290351,occupied
67.7248725869,-0.0215637065637,1.78589342807,3.43189510674,occupied
67.5528136201,-0.172058966801,1.72829840664,1.96815662317,occupied
67.7663464286,0.2135328085,2.36225640977,2.02135873866,occupied
68.0332313167,0.266884888154,2.37025366934,2.06167547846,occupied
68.0005591398,-0.0326721769411,4.32028821679,2.69527417564,occupied
68.2412490975,0.240689957688,4.26378523988,3.32914588395,occupied
69.0774202899,0.836171192382,4.42521182205,3.84488473701,occupied
68.8942472727,-0.183173017128,4.131395084,4.28517009068,occupied
68.9743676471,0.0801203743315,4.26887753649,4.2723174206,occupied
69.8037809917,0.829413344677,2.87737291819,3.92571434018,occupied
70.4974918033,0.693710811543,3.31846492164,3.64902761508,occupied
70.452440678,-0.0450511253127,3.52957642819,3.49857295113,occupied
70.9134046512,0.460963973197,3.73306220284,3.36461911771,occupied
70.8853073394,-0.0280973117133,3.55306586533,3.5335423545,occupied
70.346272,-0.53903533945,2.98871001407,3.45110362761,occupied
69.865876494,-0.480395505976,2.41196043348,3.17169962893,occupied
69.5855503876,-0.280326106427,1.90581885119,2.71488879102,occupied
69.4705740072,-0.114976380377,2.56078850213,2.46681945022,occupied
69.4876123188,0.0170383116204,3.82025903906,2.67470670647,occupied
69.5647391304,0.0771268115942,3.74590274262,3.00819228375,occupied
69.4852913386,-0.0794477918521,4.20427995012,3.58280755848,occupied
69.1556162791,-0.329675059513,4.35382665669,4.03106709712,occupied
69.26372,0.10810372093,4.37293653112,4.16923647014,occupied
69.1915633188,-0.0721566812227,3.30738221093,4.05960633721,occupied
69.2374912281,0.0459279092929,3.59968962256,3.90845875532,occupied
69.2078486056,-0.0296426224925,3.06130176379,3.5853275321,occupied
69.2156015936,0.00775298804787,2.95529383998,3.23091685932,occupied
68.8358611111,-0.379740482515,2.44368510186,3.01499258205,occupied
68.7536080586,-0.0822530525031,4.10864110526,3.14223045272,occupied
68.2976446886,-0.455963369963,4.38868263537,3.47407567062,occupied
68.2838937729,-0.0137509157509,4.4657132524,3.85168052372,occupied
68.3828308824,0.0989371094592,4.3999286082,4.34074140031,occupied
69.0257508897,0.642920007327,4.4609918278,4.42882908094,occupied
69.1793558719,0.153604982206,3.24202386548,4.14216438847,occupied
69.2913321429,0.111976270971,2.77667522886,3.71990488259,occupied
69.4489518519,0.157619708995,3.58635984505,3.5165126918,occupied
69.7133085502,0.264356698334,3.74909843659,3.338539344,occupied
69.2421555556,-0.47115299463,4.05210979948,3.5410608275,occupied
69.7646343284,0.522478772803,4.48632782784,3.96847397724,occupied
70.1014163569,0.336782028519,4.49117983176,4.19467897392,occupied
70.3864507576,0.285034400698,5.97424424333,4.7509654256,occupied
69.9503207547,-0.436130002859,5.97282018553,5.23114302212,occupied
69.7811522634,-0.169168491343,6.52636574902,5.74115250241,occupied
69.2517428571,-0.529409406232,6.34979674994,6.20580673195,occupied
69.0312530612,-0.220489795918,6.25668733918,6.27641750592,occupied
68.8496692308,-0.181583830455,3.90311919001,5.75899225704,occupied
69.2408615385,0.391192307692,3.82523673833,5.08371000437,occupied
69.4242740214,0.183412482891,2.9170722565,4.22552888101,occupied
69.241480427,-0.182793594306,3.11156446648,3.43924816283,occupied
69.3818505338,0.140370106762,2.84775584309,3.1754073261,occupied
69.1810996441,-0.20075088968,3.19286887969,3.01731536144,occupied
69.2646263345,0.0835266903914,3.54744022388,3.17490735329,occupied
69.4379786477,0.173352313167,3.63808228519,3.30653680796,occupied
69.5821103203,0.144131672598,3.34767410493,3.43151637342,occupied
69.6652681159,0.0831577956574,4.29565322799,3.7072124605,occupied
69.6736678832,0.00839976726949,4.32203546657,3.90086127117,occupied
69.4606294821,-0.21303840114,4.33086286578,4.07405641631,occupied
69.37106,-0.0895694820718,4.72272009469,4.41781791376,occupied
69.7950756972,0.424015697211,4.32748527418,4.4257759253,occupied
69.5467686275,-0.24830706976,3.30260977653,4.17091950279,occupied
69.3586381323,-0.188130495155,3.62196138775,3.99369413329,occupied
69.5856024096,0.226964277343,4.74903365028,4.00027252218,occupied
69.1471219512,-0.438480458419,4.41574136256,4.02233654428,occupied
68.5848298969,-0.562292054312,5.02103420358,4.45194265104,occupied
68.8080271739,0.223197277006,5.22796510626,4.85344358067,occupied
69.1641341463,0.356106972428,4.93906855868,4.90095230777,occupied
68.6953292683,-0.468804878049,3.88385939405,4.76798181564,occupied
69.1100176471,0.414688378766,3.27052385192,4.33035422773,occupied
69.3168853211,0.206867674042,4.18688766216,4.0700848667,occupied
69.2099802956,-0.106905025534,4.30727954156,3.91213761242,occupied
69.0453076923,-0.164672603259,4.55367838367,4.07959235983,occupied
69.2194509804,0.174143288084,3.74447824307,4.19808095762,occupied
69.4003073171,0.180856336681,4.05169561675,4.16428294626,occupied
69.3696634146,-0.0306439024391,2.52721241627,3.71926616494,occupied
69.1477837838,-0.22187963085,2.69871346055,3.25552493416,occupied
69.1293288288,-0.018454954955,3.22939781941,3.12675482824,occupied
69.8208818182,0.691552989353,3.61565580612,3.01774487559,occupied
70.509587156,0.688705337782,3.51094500969,3.26367802394,occupied
71.456146789,0.946559633028,3.80482822257,3.54020671445,occupied
72.0523815789,0.596234789957,3.52126386239,3.61317322519,occupied
72.020992674,-0.0313889049547,2.43860681506,3.31891097743,occupied
71.2608175439,-0.760175130133,2.48120851015,3.06147685254,occupied
71.2127601476,-0.0480573962582,3.53106321592,2.99303560088,occupied
70.7922875536,-0.420472593953,3.92654232257,3.09435521593,occupied
70.9012618026,0.108974248927,3.80251698347,3.43533275803,occupied
