% Title: Sonar data
% Sources: Bruno's room 
@RELATION proximity

@ATTRIBUTE avg 		NUMERIC
@ATTRIBUTE diff_avg	NUMERIC
@ATTRIBUTE std_dev	NUMERIC
@ATTRIBUTE class	{empty, occupied}

@DATA
96.1391833333,96.1391833333,4.84154148128,empty
96.3612352941,0.222051960784,3.44982455635,empty
95.6165948276,-0.744640466531,6.03127841085,empty
95.6556785714,0.0390837438423,6.20798559285,empty
96.7712090909,1.11553051948,1.03982720949,empty
96.7753454545,0.00413636363638,0.622942152561,empty
96.7864954955,0.0111500409501,0.528205088851,empty
96.7822336449,-0.00426185063573,0.499620319606,empty
96.7309238095,-0.051309835336,0.516245426414,empty
96.7216,-0.00932380952386,0.508949570571,empty
96.6765142857,-0.0450857142858,0.52475597102,empty
96.6270952381,-0.049419047619,0.552822400258,empty
96.6815904762,0.0544952380953,0.572277882596,empty
96.6682095238,-0.013380952381,0.481485775316,empty
96.6887238095,0.0205142857143,0.495557485124,empty
96.6754095238,-0.0133142857144,0.473947491721,empty
96.620009434,-0.0554000898472,0.400184017084,empty
96.6232,0.0031905660378,0.426807522823,empty
96.640647619,0.0174476190476,0.465752616347,empty
96.5736603774,-0.0669872416891,0.534644641871,empty
96.5126792453,-0.0609811320755,0.51063615874,empty
96.5050761905,-0.00760305480679,0.423562062822,empty
96.5534666667,0.0483904761905,0.421620342038,empty
96.6098190476,0.0563523809524,0.450276940017,empty
96.5782190476,-0.0316,0.466583820093,empty
96.4987428571,-0.0794761904762,0.612778571323,empty
96.4857596154,-0.0129832417582,0.699544088636,empty
96.486375,0.000615384615315,0.521477646385,empty
96.3856213592,-0.100753640777,2.00302965685,empty
96.4156176471,0.0299962878355,2.08152834199,empty
96.7157326733,0.300115026208,1.19435098603,empty
96.7660098039,0.0502771306542,1.00311051379,empty
96.6390673077,-0.126942496229,0.451266615797,empty
96.6405333333,0.00146602564097,0.483610759461,empty
96.6867238095,0.0461904761905,0.462857024262,empty
96.2764660194,-0.410257790106,3.48488194814,empty
96.1566538462,-0.119812173264,3.46007686028,empty
96.5055619048,0.348908058608,0.479043155351,empty
96.5960285714,0.0904666666666,0.492715951428,empty
96.9540190476,0.35799047619,2.0557738716,empty
97.0052857143,0.0512666666667,2.03842497982,empty
96.7672857143,-0.238,0.45976425218,empty
96.6996380952,-0.0676476190475,0.700603326863,empty
96.5379333333,-0.161704761905,0.703239075589,empty
96.5060660377,-0.0318672955974,0.478428364919,empty
96.5182952381,0.0122292003593,0.50151437827,empty
96.4611238095,-0.0571714285714,0.95715780886,empty
96.3647884615,-0.0963353479853,1.94846121348,empty
96.1379807692,-0.226807692308,3.38601573001,empty
96.6436826923,0.505701923077,4.35605515907,empty
96.9076538462,0.263971153846,3.2279997226,empty
96.5471057692,-0.360548076923,0.521969829844,empty
96.5885865385,0.0414807692308,0.612874361292,empty
96.6214038462,0.0328173076923,0.588042738676,empty
96.564375,-0.0570288461539,0.479693777472,empty
96.5181346154,-0.0462403846154,0.717426834776,empty
96.5575619048,0.0394272893773,0.986541734894,empty
96.6328846154,0.0753227106227,0.855790820414,empty
96.7637019231,0.130817307692,1.52307261542,empty
96.6286190476,-0.135082875458,1.70634095351,empty
96.290152381,-0.338466666667,2.61107355898,empty
96.4891809524,0.199028571429,2.56380414761,empty
96.6522,0.163019047619,1.04757320655,empty
96.521952381,-0.130247619048,0.916760552801,empty
96.5072285714,-0.0147238095238,0.524962878855,empty
96.4219714286,-0.0852571428571,0.45995548399,empty
96.5123396226,0.0903681940701,0.437784093052,empty
96.7350288462,0.222689223512,0.511577656069,empty
96.8305192308,0.0954903846154,0.672910992264,empty
96.7601047619,-0.0704144688645,0.64324583953,empty
96.7600190476,-8.57142857313e-05,0.612398515626,empty
96.7356857143,-0.0243333333333,0.659250278059,empty
96.6744571429,-0.0612285714286,0.791959316027,empty
96.6813142857,0.00685714285707,0.784947809562,empty
96.7034,0.0220857142857,0.506496992929,empty
96.6489428571,-0.0544571428571,0.630132858832,empty
57.7471666667,-38.9017761905,3.75222394943,empty
58.9068,1.15963333333,4.17948725723,empty
60.4371333333,1.53033333333,4.57646338604,empty
60.7996842105,0.362550877193,4.45327754522,empty
60.1225882353,-0.677095975232,4.52302262125,empty
59.5279333333,-0.594654901961,4.24230322326,empty
58.3015,-1.22643333333,3.33418997932,empty
58.5781538462,0.276653846154,3.76605365615,empty
60.642,2.06384615385,4.44304387654,empty
62.6609428571,2.01894285714,3.6618944787,empty
62.7958918919,0.134949034749,3.5705673902,empty
60.7346111111,-2.06128078078,4.11295664568,empty
59.1386923077,-1.59591880342,3.32448094657,empty
64.0036086957,4.86491638796,12.4011016033,empty
62.4204444444,-1.58316425121,3.17154439571,empty
61.6644482759,-0.755996168582,3.69052740701,empty
57.3973636364,-4.2670846395,3.05923311543,empty
58.4132727273,1.01590909091,3.45297243229,empty
58.5909166667,0.177643939394,3.16783087411,empty
59.4025384615,0.811621794872,3.54270966482,empty
60.1829230769,0.780384615385,3.49676356225,empty
59.6680714286,-0.514851648352,3.49868701668,empty
59.5406086957,-0.127462732919,3.42623467778,empty
59.0657272727,-0.474881422925,3.61575414227,empty
57.1749090909,-1.89081818182,3.28272890914,empty
56.6654,-0.509509090909,1.53576620038,empty
57.4353,0.7699,2.89634597573,empty
59.63975,2.20445,4.25069286117,empty
59.543375,-0.096375,4.35767864618,empty
57.5692727273,-1.97410227273,2.71472595637,empty
58.1851538462,0.615881118881,3.07891243911,empty
59.7613478261,1.57619397993,3.111786298,empty
