time,distance
1464296245.7,72.647
1464296245.72,145.069
1464296245.74,72.627
1464296245.76,112.677
1464296245.77,74.381
1464296245.79,74.193
1464296245.8,63.198
1464296245.82,61.002
1464296245.84,72.868
1464296245.86,114.803
1464296245.88,120.532
1464296245.89,121.01
1464296245.91,116.877
1464296245.93,109.194
1464296245.95,111.32
1464296245.97,120.184
1464296245.99,112.146
1464296246.01,101.081
1464296246.03,101.339
1464296246.04,99.658
1464296246.06,113.483
1464296246.08,101.682
1464296246.1,75.256
1464296246.11,65.013
1464296246.31,78.601
1464296246.51,62.188
1464296246.53,120.135
1464296246.55,113.107
1464296246.57,111.287
1464296246.59,112.587
1464296246.61,113.021
1464296246.62,111.733
1464296246.64,106.45
1464296246.66,112.129
1464296246.68,111.643
1464296246.7,111.769
1464296246.72,112.73
1464296246.73,73.506
1464296246.75,70.419
1464296246.95,48.997
1464296246.96,51.418
1464296246.98,51.107
1464296246.99,49.169
1464296247.01,49.271
1464296247.02,49.083
1464296247.04,48.997
1464296247.05,47.954
1464296247.07,48.224
1464296247.09,48.057
1464296247.1,47.795
1464296247.12,47.505
1464296247.14,31.231
1464296247.15,47.198
1464296247.17,46.973
1464296247.18,47.026
1464296247.2,47.488
1464296247.21,47.488
1464296247.23,47.697
1464296247.24,47.267
1464296247.26,47.881
1464296247.27,48.551
1464296247.29,48.175
1464296247.3,48.277
1464296247.32,49.598
1464296247.34,88.234
1464296247.35,48.878
1464296247.37,49.892
1464296247.39,49.136
1464296247.4,50.13
1464296247.42,50.608
1464296247.43,50.199
1464296247.45,51.156
1464296247.46,50.007
1464296247.48,49.991
1464296247.49,49.34
1464296247.51,49.324
1464296247.52,50.166
1464296247.54,72.802
1464296247.56,49.271
1464296247.57,49.271
1464296247.59,49.308
1464296247.6,49.443
1464296247.62,49.786
1464296247.63,50.232
1464296247.65,50.628
1464296247.66,50.575
1464296247.68,50.988
1464296247.69,51.43
1464296247.71,51.074
1464296247.73,51.058
1464296247.74,20.375
1464296247.76,50.473
1464296247.77,50.522
1464296247.79,49.651
1464296247.8,49.668
1464296247.82,49.496
1464296247.83,49.103
1464296247.85,49.103
1464296247.86,49.533
1464296247.88,49.856
1464296247.89,53.131
1464296247.91,50.199
1464296247.92,51.14
1464296247.94,51.45
1464296247.95,50.592
1464296247.97,50.081
1464296247.98,50.473
1464296247.99,50.886
1464296248.01,51.794
1464296248.03,50.457
1464296248.04,49.545
1464296248.06,49.565
1464296248.07,50.367
1464296248.09,50.318
1464296248.1,50.731
1464296248.12,122.466
1464296248.14,66.027
1464296248.15,64.985
1464296248.17,51.692
1464296248.19,114.337
1464296248.2,67.058
1464296248.22,115.985
1464296248.24,123.292
1464296248.26,65.737
1464296248.27,68.55
1464296248.29,110.735
1464296248.31,109.93
1464296248.32,68.771
1464296248.34,67.332
1464296248.37,60.765
1464296248.38,48.723
1464296248.4,48.159
1464296248.41,65.684
1464296248.61,46.531
1464296248.63,126.702
1464296248.64,61.758
1464296248.66,60.916
1464296248.68,60.507
1464296248.69,60.609
1464296248.9,45.656
1464296248.91,63.643
1464296248.93,63.709
1464296249.13,51.692
1464296249.15,63.611
1464296249.16,64.486
1464296249.36,50.747
1464296249.38,120.184
1464296249.4,122.331
1464296249.41,121.865
1464296249.43,121.01
1464296249.63,49.426
1464296249.65,51.467
1464296249.66,51.483
1464296249.67,50.714
1464296249.69,50.682
1464296249.7,50.301
1464296249.72,50.318
1464296249.73,50.199
1464296249.75,50.35
1464296249.76,50.698
1464296249.78,51.144
1464296249.79,50.817
1464296249.81,50.714
1464296249.82,50.796
1464296249.84,50.714
1464296249.85,51.144
1464296249.87,50.763
1464296249.88,50.763
1464296249.9,50.817
1464296249.91,50.71
1464296249.93,50.71
1464296249.94,50.78
1464296249.96,50.694
1464296249.97,51.14
1464296249.99,51.021
1464296250.0,50.678
1464296250.02,51.107
1464296250.03,51.193
1464296250.05,50.747
1464296250.06,49.925
1464296250.08,51.156
1464296250.09,52.031
1464296250.29,55.359
1464296250.31,130.116
1464296250.51,47.811
1464296250.52,52.481
1464296250.54,51.295
1464296250.55,51.23
1464296250.57,51.279
1464296250.76,48.776
1464296250.78,111.185
1464296250.8,68.153
1464296250.82,115.846
1464296250.83,55.997
1464296250.85,55.445
1464296251.04,59.236
1464296251.06,113.07
1464296251.08,47.779
1464296251.09,48.637
1464296251.29,49.565
