time,prev_state,avg_diff,std_dev,std_diff, new_state
7,chair_away,0,chair_away,0,99.9857251672,68.6706603607,0.512761763468,0.512761763468,0.19038887759,0.19038887759,0
15,chair_away,0,chair_away,0,1.94492638337,68.5678904255,1.19662788884,0.683866125371,0.200010440117,0.00962156252711,0
23,chair_away,0,chair_away,0,-1.97712346885,68.7450355794,0.697119230831,-0.499508658008,0.216004960566,0.0159945204494,0
31,chair_away,0,chair_away,0,1.22435356748,68.558877426,0.91516834269,0.218049111859,0.192514619567,-0.0234903409997,0
39,chair_away,0,chair_away,0,-1.09780678254,68.7852824728,0.843199193757,-0.0719691489325,0.219789619413,0.0272749998463,0
47,chair_away,0,chair_away,0,-30.7861930236,38.8504478667,21.0017112521,20.1585120583,20.4424784623,20.2226888429,1
55,chair_close,1,chair_away,0,-18.6955798732,24.8252420142,0.150528904199,-20.8511823479,0.106812248598,-20.3356662137,3
63,occupied_close,3,chair_away,0,0.0492613830919,24.788057509,0.119311900671,-0.0312170035281,0.158063322919,0.0512510743216,3
71,occupied_close,3,chair_away,0,-0.0471867303872,24.8444416801,0.0355738736638,-0.0837380270069,0.0661017259658,-0.0919615969535,3
79,occupied_close,3,chair_away,0,0.00957694628329,24.6999588419,0.0464561860565,0.0108823123927,0.178032259702,0.111930533736,3
87,occupied_close,3,chair_away,0,0.0417599032024,24.8162588077,0.132772833746,0.0863166476892,0.0449062609431,-0.133125998759,3
95,occupied_close,3,chair_away,0,0.206018559165,24.6715269983,0.313740022049,0.180967188304,0.199702200021,0.154795939078,3
103,occupied_close,3,chair_away,0,-0.179082589131,24.8011037178,0.168068478018,-0.145671544031,0.0650698843582,-0.134632315662,3
111,occupied_close,3,chair_away,0,0.0713969846504,24.748162806,0.224857806599,0.0567893285807,0.130730221099,0.0656603367411,3
119,occupied_close,3,chair_away,0,-0.137456948107,24.8066774055,0.0468823816712,-0.177975424928,0.0482915202579,-0.0824387008415,3
127,occupied_close,3,chair_away,0,0.0634892684808,24.7457902239,0.228947274754,0.182064893082,0.146009108961,0.0977175887032,3
