time,prev_state,avg_diff,std_dev,std_diff, new_state
14,chair_away,102.334685607,0.99731431905,0.99731431905,68.5649356146,68.5649356146,0.170565354743,0.170565354743,chair_away
22,chair_away,0.393643992001,1.89504016979,1.72447481504,68.5289000471,-0.0360355674104,0.14512078657,0.14512078657,chair_away
30,chair_away,-0.480516254902,2.8899512175,2.74483043093,68.4616467321,-0.0672533150658,0.0515195662659,0.0515195662659,chair_away
52,chair_away,-48.6713962002,0.581038825244,0.529519258978,25.044778597,-43.4168681351,0.174469327209,0.174469327209,chair_close
60,chair_close,0.837496158933,0.0714503975034,-0.103018929706,25.0351867272,-0.00959186975906,0.183648368936,0.183648368936,chair_close
68,chair_close,-0.0145849825704,0.0299908684403,-0.153657500496,24.9319374561,-0.103249271118,0.0403072769615,0.0403072769615,chair_close
84,chair_close,44.1161420058,0.250699323745,0.210392046784,68.4478049278,43.5158674717,0.0451173695412,0.0451173695412,chair_away
92,chair_away,0.0883161063083,0.315635080982,0.270517711441,68.5476997655,0.099894837705,0.150341821439,0.150341821439,chair_away
100,chair_away,0.155148478449,0.291766332344,0.141424510905,68.8180290736,0.270329308038,0.200119476106,0.200119476106,chair_away
120,chair_away,-14.8783635258,28.8125276879,28.6124082118,37.6805408466,-31.1374882269,35.621851521,35.621851521,occupied_away
128,occupied_away,6.13684096057,25.9633405123,-9.65851100868,18.5509312412,-19.1296096054,0.377885751379,0.377885751379,occupied_away
136,occupied_away,-25.5246712544,7.08527640267,6.70739065129,15.473769643,-3.07716159822,0.338880298519,0.338880298519,occupied_away
156,occupied_away,30.125367107,0.325487864056,-0.0133924344632,68.6138723208,53.1401026778,0.192899200382,0.192899200382,chair_away
164,chair_away,0.667384036405,0.25475468368,0.061855483298,68.7498109978,0.135938677074,0.228854061166,0.228854061166,chair_away
172,chair_away,-0.333114557488,0.442867315217,0.214013254051,68.5460802428,-0.203730755074,0.159083791378,0.159083791378,chair_away
208,chair_away,-39.216829551,0.23822058694,0.0791367955619,25.226358238,-43.3197220047,0.194548534994,0.194548534994,chair_close
216,chair_close,0.0471121618917,0.241087250701,0.0465387157066,25.0704559249,-0.15590231307,0.156080301847,0.156080301847,chair_close
224,chair_close,0.247181959488,0.111414962781,-0.0446653390667,24.9780663588,-0.092389566198,0.0431151253564,0.0431151253564,chair_close
266,chair_close,9.7066245257,3.00149771957,2.95838259421,16.9592766052,-8.01878975359,0.598770336478,0.598770336478,occupied_away
274,occupied_away,0.620816572571,3.09642648801,2.49765615154,16.5328740055,-0.426402599687,0.23658892016,0.23658892016,occupied_away
282,occupied_away,-1.48637052419,1.98380801361,1.74721909345,16.632979317,0.100105311576,0.163047690533,0.163047690533,occupied_away
332,occupied_away,-18.1873933981,1.35261979479,1.18957210426,10.9643706431,-5.66860867395,0.645476081594,0.645476081594,occupied_close
340,occupied_close,0.905217336669,0.351229006678,-0.294247074916,10.8739373309,-0.0904333122351,0.212885501231,0.212885501231,occupied_close
348,occupied_close,0.321641137076,0.595806310374,0.382920809143,10.6653920809,-0.208545249921,0.0460037263409,0.0460037263409,occupied_close
372,occupied_close,19.5482036163,0.40343435533,0.357430628989,24.7909493994,14.1255573184,0.0608832751887,0.0608832751887,chair_close
380,chair_close,-2.27183519527,1.694022101,1.63313882581,24.8151850119,0.0242356124955,0.0737691052251,0.0737691052251,chair_close
388,chair_close,-0.584896297526,0.326312222086,0.252543116861,24.8335297428,0.0183447309091,0.15141922609,0.15141922609,chair_close
425,chair_close,43.0799237929,0.513566718246,0.362147492156,68.5822329494,43.7487032066,0.169048158233,0.169048158233,chair_away
433,chair_away,-9.98544469113,15.1028532717,14.9338051135,56.7809180967,-11.8013148528,19.2000178906,19.2000178906,chair_away
441,chair_away,9.44463067699,0.815558540631,-18.38445935,68.8783996033,12.0974815066,0.197259609663,0.197259609663,chair_away
