time,prev_state,avg_diff,std_dev,std_diff, new_state
24,chair_away,51.1289095537,0.384942266286,0.384942266286,chair_close
34,chair_close,0.303958953454,0.199199197937,-0.185743068349,chair_close
44,chair_close,-0.36107695127,0.230595109678,0.0313959117411,chair_close
54,chair_close,0.0527089103606,0.245218617931,0.0146235082526,chair_close
64,chair_close,-0.142790498103,0.204216137901,-0.0410024800297,chair_close
85,chair_close,22.5767810292,16.8867515112,16.6825353733,occupied_away
94,occupied_away,-5.89631441898,0.683622220173,-16.203129291,occupied_away
104,occupied_away,-1.59473296291,0.868194814073,0.184572593901,occupied_away
114,occupied_away,-0.103263265727,0.969779045546,0.101584231472,occupied_away
124,occupied_away,-0.345454045887,1.1763264178,0.206547372256,occupied_away
154,occupied_away,-15.0948069212,0.2645255416,-0.911800876202,chair_close
164,chair_close,0.276404230266,0.17476846027,-0.0897570813297,chair_close
174,chair_close,0.0198672991536,0.263110549415,0.0883420891449,chair_close
184,chair_close,-0.220490487625,0.24107238823,-0.0220381611852,chair_close
194,chair_close,0.108719891412,0.315993348633,0.0749209604025,chair_close
238,chair_close,-0.691005309038,0.197636043605,-0.118357305027,chair_close
248,chair_close,0.00742186643492,0.195349885828,-0.00228615777753,chair_close
258,chair_close,-0.137270248077,0.124880148689,-0.070469737139,chair_close
268,chair_close,-0.0301454617101,0.0710936856246,-0.0537864630642,chair_close
278,chair_close,0.137401739559,0.192219251304,0.12112556568,chair_close
305,chair_close,26.5863747302,16.5495593001,16.3573400488,occupied_away
314,occupied_away,-6.86928954843,0.537706438552,-16.0118528616,occupied_away
323,occupied_away,0.445824690578,1.41275753419,0.875051095643,occupied_away
332,occupied_away,-4.15982426259,5.12703471727,3.71427718307,occupied_away
341,occupied_away,3.31242346885,2.75250732492,-2.37452739235,occupied_away
364,occupied_away,-16.8393286623,1.1494775102,-1.60302981472,chair_close
373,chair_close,0.571687148049,0.26311657351,-0.886360936689,chair_close
383,chair_close,-0.376769250921,0.318127818105,0.0550112445949,chair_close
393,chair_close,-0.168723082802,0.287892578041,-0.0302352400643,chair_close
403,chair_close,-0.379472085214,0.341192963855,0.0533003858143,chair_close
