time,prev_state,avg_diff,std_dev,std_diff, new_state
7,chair_away,92.0204698261,0.677708727519,0.677708727519,chair_away
17,chair_away,0.386905500913,0.322277935131,-0.355430792388,chair_away
27,chair_away,0.00350142389999,0.285534906906,-0.0367430282255,chair_away
37,chair_away,0.0569642201448,0.266348167875,-0.0191867390303,chair_away
47,chair_away,-0.129520766943,0.350975075051,0.0846269071759,chair_away
109,chair_away,-43.1315595409,0.11110200585,-0.239873069202,chair_close
119,chair_close,-0.0218049966784,0.0645952800377,-0.0465067258118,chair_close
129,chair_close,0.0213690184991,0.0933110261755,0.0287157461378,chair_close
139,chair_close,-0.0321838727673,0.0373876488441,-0.0559233773314,chair_close
149,chair_close,0.0749213673985,0.146894023562,0.109506374718,chair_close
172,chair_close,27.1627883789,0.291391220561,0.144497196999,chair_away
182,chair_away,0.0465183147205,0.298297731901,0.00690651133948,chair_away
192,chair_away,0.0380963094022,0.303856280009,0.00555854810889,chair_away
202,chair_away,-0.128147186084,0.227668020636,-0.0761882593729,chair_away
212,chair_away,-0.041888763369,0.218271970416,-0.00939605022077,chair_away
237,chair_away,-13.6955220933,2.24775028417,2.02947831375,occupied_away
246,occupied_away,4.28243315035,10.1733896047,7.92563932052,occupied_away
255,occupied_away,-0.775324801178,8.27208746912,-1.90130213557,occupied_away
264,occupied_away,2.80325437281,16.0933090621,7.82122159296,occupied_away
273,occupied_away,1.32897037102,18.0500515683,1.95674250622,occupied_away
300,occupied_away,21.7757557258,0.381534666232,-17.6685169021,chair_away
310,chair_away,0.202085462876,0.292717425205,-0.088817241027,chair_away
320,chair_away,-0.00639753993745,0.248129232495,-0.0445881927108,chair_away
330,chair_away,0.0993022508919,0.362122966405,0.113993733911,chair_away
340,chair_away,-0.0239114875325,0.36805843485,0.00593546844408,chair_away
368,chair_away,-41.3538823517,0.98315779678,0.615099361931,occupied_close
377,occupied_close,-0.768867839749,1.0041963067,0.0210385099229,occupied_close
386,occupied_close,1.7324228813,0.811395533372,-0.192800773331,occupied_close
395,occupied_close,-2.18222027146,0.958897146952,0.14750161358,occupied_close
404,occupied_close,-0.554557762284,0.478488209967,-0.480408936985,occupied_close
426,occupied_close,25.6378478354,0.051122380922,-0.427365829045,chair_away
436,chair_away,6.52352943126,0.619447761583,0.568325380661,chair_away
445,chair_away,0.137182344633,0.235542886564,-0.383904875018,chair_away
455,chair_away,3.644757436,1.22457564278,0.989032756216,chair_away
465,chair_away,-0.229469634437,0.268505369037,-0.956070273743,chair_away
483,chair_away,-36.3983231225,0.313753890562,0.0452485215246,chair_close
493,chair_close,-0.0597765252136,0.2322521174,-0.0815017731612,chair_close
503,chair_close,0.0954146950172,0.269782809688,0.037530692288,chair_close
513,chair_close,-0.115327517192,0.297128795222,0.0273459855331,chair_close
523,chair_close,0.0481790436639,0.222032240237,-0.0750965549845,chair_close
546,chair_close,44.9161720387,1.5475353523,1.32550311206,chair_away
555,chair_away,0.388287260804,0.354031272836,-1.19350407946,chair_away
564,chair_away,-0.107009320606,0.275943535977,-0.0780877368587,chair_away
573,chair_away,-0.0752767508624,0.317810420776,0.0418668847983,chair_away
582,chair_away,-0.0966030725171,0.252231638291,-0.0655787824843,chair_away
602,chair_away,-16.4648167917,22.1965160076,21.9442843693,occupied_away
611,occupied_away,-5.93646950866,2.41299325263,-19.783522755,occupied_away
620,occupied_away,-1.74161255865,0.594355685719,-1.81863756691,occupied_away
630,occupied_away,0.0408294002215,0.466172389967,-0.128183295752,occupied_away
640,occupied_away,0.14949167437,1.05959494926,0.593422559297,occupied_away
657,occupied_away,29.9038701347,0.302683367155,-0.756911582109,chair_away
666,chair_away,-0.108202538271,0.330544991336,0.0278616241819,chair_away
675,chair_away,-0.256763929608,0.213728495486,-0.11681649585,chair_away
684,chair_away,0.407715661991,0.352691944553,0.138963449066,chair_away
693,chair_away,-0.0893355936611,0.314556357992,-0.0381355865607,chair_away
